gene_representative,pan_gene_class,product_name,frequency
562.22809.peg.4915,unique,Tetrathionate reductase subunit B_1,6
562.23539.peg.4734,unique,IncF plasmid conjugative transfer regulator TraJ_8,160
562.23583.peg.2947,unique,"Phage tail tip, assembly protein K_19",7
562.42808.peg.334,accessory,Phage repressor protein cI_79,581
562.42818.peg.1703,core,"Uptake [NiFe] hydrogenase, cytochrome b subunit HyaC_2",1963
562.42857.peg.2292,core,Guanylate kinase (EC 2.7.4.8)_4,1969
562.45404.peg.4479,unique,probable lipoprotein YPO0703_7,12
562.7573.peg.5246,unique,Chloramphenicol O-acetyltransferase (EC 2.3.1.28) => CatA1/CatA4 family_4,141
562.7624.peg.5134,unique,"Phage tail, tail length tape-measure protein H_163",5
562.7626.peg.62,unique,Putative uncharacterized protein YtfA_17,34
562.7749.peg.5054,unique,"Phage head, terminase DNA packaging protein A_170",8
562.7749.peg.5045,core,Leucine efflux protein_10,1955
562.12959.peg.2277,core,Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)_1,1970
562.12959.peg.1905,core,16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)_1,1970
562.12959.peg.2744,accessory,HTH-type transcriptional regulator MlrA_1,1929
562.12959.peg.299,core,23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)_1,1970
562.12959.peg.2251,core,FIG00003370: Multicopper polyphenol oxidase_1,1970
562.12960.peg.223,unique,Type VI secretion-related protein VasL_3,7
562.12960.peg.768,accessory,Uncharacterized fimbrial chaperone YbgP_1,672
562.12960.peg.2243,unique,Transposase InsF for insertion sequence IS3 @ Mobile element protein_1,126
562.12960.peg.4096,accessory,fimbrial chaperone protein_1,474
562.16324.peg.2825,unique,O-antigen export system permease protein RfbD_2,18
562.16466.peg.953,unique,Uncharacterized protein YtfI_1,43
562.19184.peg.2005,unique,Phage protein_72,13
562.19186.peg.159,accessory,"3-oxoacyl-[ACP] reductase (EC 1.1.1.100) FadG2, NOT involved in fatty acid synthesis_1",442
562.22428.peg.3165,accessory,Transcriptional regulator PhnF_1,1934
562.22434.peg.4698,unique,"Transcriptional regulator, AraC family_24",150
562.22435.peg.147,unique,Uncharacterized protein YabP_1,103
562.22449.peg.4023,unique,Periplasmic fimbrial chaperone_2,128
562.22453.peg.4624,unique,Phage-related protein_2,7
562.22460.peg.1699,core,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB_1,1970
562.22464.peg.4920,unique,"ABC transporter, ATP-binding protein_5",85
562.22476.peg.4201,unique,Phage protein_128,5
562.22476.peg.4419,unique,"Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)_2",17
562.22477.peg.840,accessory,Mobile element protein_197,211
562.22485.peg.493,unique,Phage tail assembly protein_1,48
562.22524.peg.4966,unique,D-galactarate dehydratase (EC 4.2.1.42)_7,71
562.22547.peg.5097,unique,Putative Rhs-family protein_5,13
562.22559.peg.4843,unique,Replication initiation protein RepE_5,26
562.22643.peg.3948,unique,Uncharacterized fimbrial chaperone YbgP_6,14
562.22723.peg.70,unique,Voltage-gated ClC-type chloride channel ClcB_7,5
562.22794.peg.1828,unique,Oxidoreductase YdhF_2,7
562.22824.peg.1151,unique,Putative phosphoethanolamine transferase YhbX_11,45
562.22929.peg.3794,unique,Positive regulator of L-idonate catabolism_5,6
562.22980.peg.4626,unique,Uncharacterized protein YeeP_15,34
562.22999.peg.5002,unique,Mobilization protein_11,8
562.23006.peg.508,unique,"ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17) @ ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), ethanolamine utilization_3",11
562.23031.peg.4126,unique,Putative phosphoethanolamine transferase YjgX_26,54
562.23040.peg.5123,accessory,Phage lytic murein transglycosylase_2,433
562.23266.peg.1446,unique,AidA-I adhesin-like protein_43,6
562.23302.peg.4201,unique,Putative uncharacterized protein YagJ_3,7
562.23764.peg.5146,unique,Mobile element protein_751,30
562.23835.peg.602,accessory,"Transcriptional regulator of acrAB operon, AcrR_12",1875
562.23847.peg.2520,unique,Uncharacterized lipoprotein YjbH_6,13
562.28840.peg.19,unique,Protein RhsD_92,13
562.42818.peg.4610,unique,Response regulator protein Z5684_4,6
562.42818.peg.3041,core,"Branched-chain amino acid ABC transporter, ATP-binding protein LivF (TC 3.A.1.4.1)_3",1964
562.42847.peg.5078,unique,Mobile element protein_1248,62
562.42860.peg.5021,unique,Putative inner membrane protein YafU_3,19
562.45397.peg.1642,unique,Glutamate decarboxylase (EC 4.1.1.15)_40,35
562.45851.peg.2264,unique,Uncharacterized protein YbjT_6,6
562.7695.peg.4531,unique,3-(3-hydroxyphenyl)propanoate hydroxylase (EC 1.14.13.127)_6,6
562.7710.peg.5196,unique,Uncharacterized protein STM2137_11,14
562.12959.peg.1423,core,Monofunctional biosynthetic peptidoglycan transglycosylase_1,1953
562.12959.peg.840,core,"Transcriptional regulator GadW, AraC family_1",1959
562.12960.peg.5154,unique,Phage protein_15,118
562.12961.peg.2698,core,3-demethylubiquinol 3-O-methyltransferase (EC 2.1.1.64) @ 2-polyprenyl-6-hydroxyphenyl methylase (EC 2.1.1.222)_1,1970
562.12961.peg.2341,unique,Transcriptional regulator STM1390_1,8
562.12961.peg.4392,core,Cytidylate kinase (EC 2.7.4.25)_1,1970
562.17621.peg.5165,unique,"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB8_4",33
562.22432.peg.4260,unique,Phage ea22 protein_14,8
562.22507.peg.3137,unique,Transposase_115,12
562.22558.peg.5142,unique,Uncharacterized protein YfdQ_1,37
562.22661.peg.4329,unique,UPF0380 proteins YafZ and homologs_16,13
562.22730.peg.3746,unique,DEAD-box helicase-related protein_3,10
562.22996.peg.946,accessory,RNA polymerase sigma factor for flagellar operon_4,1927
562.23005.peg.4550,unique,"Transcriptional regulator, LysR family_82",7
562.23260.peg.3750,accessory,putative lipoprotein_34,262
562.23284.peg.1320,accessory,"Phage terminase, small subunit_26",267
562.23412.peg.5371,unique,Phage tail fiber protein GpH_146,5
562.23425.peg.813,unique,Probable 9-O-acetyl-N-acetylneuraminic acid deacetylase_2,6
562.23773.peg.5057,unique,Phage ea22 protein_302,11
562.23916.peg.4721,unique,D-serine dehydratase transcriptional activator_10,81
562.42697.peg.2370,unique,Outer membrane porin OmpF_31,18
562.42697.peg.3328,accessory,Isochorismatase (EC 3.3.2.1)_4,1291
562.42743.peg.4296,unique,core protein_49,8
562.42772.peg.237,accessory,Phage DNA binding protein Roi_15,209
562.42831.peg.2009,accessory,Chaperone protein fimC precursor_13,402
562.12959.peg.1070,core,Phosphate transport system regulatory protein PhoU_1,1970
562.12959.peg.1430,core,"Lipopolysaccharide ABC transporter, ATP-binding protein LptB_1",1970
562.12959.peg.4970,core,Uridylate kinase (EC 2.7.4.22)_1,1970
562.12959.peg.4972,core,SSU ribosomal protein S2p (SAe)_1,1970
562.12959.peg.39,core,Putative regulatory protein_1,1950
562.12959.peg.4503,core,"Glutamate/aspartate ABC transporter, ATP-binding protein GltL (TC 3.A.1.3.4)_1",1967
562.12961.peg.230,unique,IncF plasmid conjugative transfer pilin acetylase TraX_2,5
562.16325.peg.2158,unique,Fimbria adhesin EcpD_1,61
562.19186.peg.4447,unique,"Phage head, head-tail preconnector protease C / Phage head, scaffolding domain Nu3_2",10
562.22433.peg.4474,accessory,"Putative deoxyribonuclease similar to YcfH, type 4_1",204
562.22452.peg.4161,unique,putative RepA protein_1,37
562.22460.peg.1408,unique,"Putative uncharacterized phage-associated protein, YdaW family_7",43
562.22464.peg.4825,unique,Putative ribokinase_2,90
562.22495.peg.5255,unique,"Transcriptional regulator, GntR family_4",8
562.22524.peg.4419,accessory,Mobile element protein_247,241
562.22635.peg.4353,unique,"Putative uncharacterized phage-associated protein, YdaW family_10",70
562.22666.peg.1953,unique,Uncharacterized protein YjbL_3,8
562.22886.peg.4597,unique,Phage baseplate assembly protein GpJ_14,11
562.22921.peg.2810,accessory,"Phage terminase, endonuclease subunit GpM_17",378
562.22927.peg.5036,unique,Phage DNA replication protein O_49,5
562.22962.peg.5045,accessory,Phage-encoded host-cell envelope protein Lom_16,610
562.23066.peg.3112,core,Aerobic respiration control response regulator ArcA_1,1970
562.23163.peg.2086,core,UPF0319 protein YccT precursor_3,1963
562.23302.peg.3792,unique,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)_55",7
562.23814.peg.4885,unique,ABC transporter protein IroC_10,16
562.42837.peg.4813,unique,Iron(III) dicitrate transmembrane sensor protein FecR_3,6
562.45394.peg.2278,unique,Putative phosphoethanolamine transferase YjgX_44,13
562.45846.peg.1388,unique,Outer membrane usher protein YehB_38,73
562.7705.peg.1406,unique,"YehP, CoxE-like von Willebrand factor type A (vWA) domain-containing protein_10",8
562.12959.peg.4612,core,"UDP-2,3-diacylglucosamine diphosphatase (EC 3.6.1.54)_1",1970
562.12959.peg.4932,core,FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)_1,1965
562.12959.peg.660,core,YheO-like PAS domain_1,1970
562.12959.peg.4409,accessory,Transcriptional regulator of succinyl CoA synthetase operon_1,836
562.12959.peg.4331,core,"Glutamine ABC transporter, ATP-binding protein GlnQ_1",1969
562.12959.peg.2790,core,Response regulator BaeR_1,1969
562.12961.peg.4451,unique,Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)_1,30
562.16327.peg.1704,accessory,Putative transposase InsK for insertion sequence element IS150_6,1138
562.16327.peg.1972,accessory,putative lipoprotein_10,416
562.17721.peg.5097,unique,Arsenic resistance protein ArsH_1,13
562.19184.peg.2486,unique,Putative oxidoreductase_7,19
562.19186.peg.3467,accessory,3-oxoacyl-[ACP] synthase_1,431
562.22430.peg.8,accessory,Thioesterase_1,452
562.22437.peg.3202,unique,Zinc-type alcohol dehydrogenase YcjQ_3,68
562.22441.peg.3040,unique,"D-allose ABC transporter, substrate-binding protein_3",9
562.22448.peg.3947,unique,Putative transport protein_7,77
562.22454.peg.4378,unique,probable exported protein STY4558_2,25
562.22489.peg.4669,accessory,"Two-component transcriptional response regulator, OmpR family_3",459
562.22589.peg.1260,unique,"Transcriptional regulator, LysR family_64",32
562.22591.peg.1379,unique,Inner membrane transport protein YdiM_4,5
562.22658.peg.689,unique,probable exported protein STY4558_5,7
562.22668.peg.4853,unique,Mobile element protein_344,10
562.22722.peg.1917,unique,Uncharacterized protein YehQ_10,5
562.22802.peg.5170,unique,Replication initiation protein RepE_7,6
562.23192.peg.3642,accessory,"PTS system, galactitol-specific IIC component_15",289
562.23490.peg.1533,unique,Hydrogenase-4 component F_8,28
562.23855.peg.3326,accessory,Probable fimbrial chaperone YehC_16,1908
562.42688.peg.4906,unique,Protein RhsB_41,14
562.42724.peg.3860,unique,Transcriptional regulator of catabolic arginine decarboxylase (adiA)_13,7
562.42762.peg.1338,unique,Altronate oxidoreductase (EC 1.1.1.58)_13,5
562.42851.peg.145,unique,putative membrane protein_107,6
562.7572.peg.2958,accessory,"ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)_10",1202
562.7576.peg.5353,unique,Phage tail fiber protein_147,5
562.7579.peg.519,unique,"Tetrapartite efflux system, inner membrane component FusBC-like_14",6
562.7617.peg.5190,unique,"Phage tail tip, assembly protein L_36",12
562.7643.peg.4543,accessory,Probable acrEF/envCD operon repressor EnvR_9,1921
562.7652.peg.5395,unique,Replication protein_57,7
562.7734.peg.5565,unique,"Phage head, portal protein B_158",11
562.12959.peg.717,core,Two-component system response regulator OmpR_1,1966
562.12959.peg.2747,core,Two-component transcriptional response regulator BtsR_1,1968
562.12959.peg.1887,core,tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33)_1,1968
562.12959.peg.441,core,Fumarate respiration two-component response regulator DcuR_1,1959
562.12959.peg.1890,core,FIG004016: Uncharacterized protein YggN_1,1969
562.12959.peg.20,core,Purine nucleoside phosphorylase (EC 2.4.2.1)_1,1970
562.12959.peg.2726,core,SanA protein_1,1970
562.12959.peg.4390,core,"Ribosyl nicotinamide transporter, PnuC-like_1",1968
562.12959.peg.4827,accessory,"Predicted L-lactate dehydrogenase, Fe-S oxidoreductase subunit YkgE_1",1919
562.12959.peg.2377,unique,Phage protein_9,5
562.12961.peg.2723,core,SSU rRNA pseudouridine(516) synthase (EC 5.4.99.19)_1,1969
562.13502.peg.3149,accessory,Plasmid SOS inhibition protein PsiA_3,346
562.16325.peg.4818,unique,Replication initiation protein RepE_2,60
562.16466.peg.4932,unique,Aspartate racemase (EC 5.1.1.13)_1,98
562.17621.peg.348,unique,"Uncharacterized transcriptional regulator YpdC, AraC family_1",35
562.19186.peg.5480,unique,Uncharacterized protein STM3277_1,141
562.22444.peg.34,core,Transcriptional regulatory protein YeeN_1,1959
562.22458.peg.4526,unique,"Predicted L-lactate dehydrogenase, Fe-S oxidoreductase subunit YkgE_2",38
562.22473.peg.4510,unique,"Transcriptional regulator YfiE, LysR family_5",14
562.22482.peg.2236,accessory,RNA polymerase sigma factor for flagellar operon_1,585
562.22482.peg.1148,unique,"Uncharacterized transcriptional regulator YdiP, AraC family_6",17
562.22493.peg.4000,unique,Virulence factor MviM_4,7
562.22494.peg.4874,unique,"Phage tail, tail length tape-measure protein H_9",16
562.22497.peg.4914,accessory,N-acetylneuraminic acid outer membrane channel protein NanC_3,1864
562.22504.peg.1025,unique,Lipid kinase YegS_4,14
562.22533.peg.1953,unique,probable exported protein STY4558_4,6
562.22653.peg.2434,accessory,"Transcriptional regulator, GntR family_6",1110
562.22890.peg.2322,core,Flagellar L-ring protein FlgH_3,1964
562.22964.peg.1544,unique,NADPH dependent aldo-keto reductase => YajO_3,5
562.23009.peg.2040,core,Probable iron export ATP-binding protein FetA_4,1963
562.23045.peg.1815,core,Cation transport protein ChaC_2,1963
562.23190.peg.530,core,"Arginine ABC transporter, permease protein ArtQ_1",1970
562.23216.peg.2233,accessory,"Uncharacterized transcriptional regulator YidP, GntR family_4",699
562.23511.peg.3995,unique,Putative transposase InsK for insertion sequence element IS150_36,7
562.42636.peg.4838,unique,"Phage head, portal protein B_87",16
562.42639.peg.3159,unique,Phage ea22 protein_340,8
562.42703.peg.3292,accessory,Putative uncharacterized protein YbfO_5,200
562.42763.peg.739,unique,Uncharacterized protein YjcZ_7,19
562.7577.peg.4330,unique,ABC transporter permease protein YdcV_6,6
562.7583.peg.112,unique,Hydrogenase-4 component B_12,166
562.7629.peg.4989,unique,Phage DNA adenine methylase (EC 2.1.1.72)_52,7
562.7635.peg.5137,unique,Transposase_578,20
562.7636.peg.5411,unique,Protein RhsA_11,5
562.7658.peg.4543,unique,Phage tail formation protein GpD_66,11
562.12959.peg.981,core,Ribonuclease PH (EC 2.7.7.56)_1,1970
562.12959.peg.2559,core,"Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1)_1",1970
562.12959.peg.4414,core,Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1)_1,1970
562.12959.peg.1147,core,Uncharacterized putative hydrolase YigB_1,1967
562.13502.peg.385,unique,Uncharacterized protein YfbN_1,100
562.16325.peg.1679,unique,Transposase InsL for insertion sequence element IS186_1,11
562.17620.peg.5152,unique,"Minor pilin of type IV secretion complex, VirB5_2",5
562.22428.peg.1222,accessory,Uncharacterized protein STM2134_1,591
562.22434.peg.3885,unique,Phage tail formation protein I_1,43
562.22434.peg.1555,unique,Rhs-family protein_2,23
562.22435.peg.1534,unique,Phage repressor protein cI_14,42
562.22479.peg.714,unique,"L,D-transpeptidase YcbB_3",7
562.22479.peg.1626,unique,"Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)_3",17
562.22487.peg.78,unique,Uncharacterized protein YfbN_2,31
562.22494.peg.2474,unique,Sorbitol operon regulator SorC_3,34
562.22524.peg.4797,unique,Putative predicted metal-dependent hydrolase_2,41
562.22554.peg.4489,unique,"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB8_7",19
562.22563.peg.4775,unique,Mobile element protein_274,20
562.22609.peg.521,unique,Toxin HigB / Protein kinase domain of HipA_17,7
562.22621.peg.261,unique,"Phage DNA modification protein Mup55, mom_1",38
562.22693.peg.2769,unique,ShiA homolog_7,15
562.22817.peg.4422,unique,Cellulose biosynthesis protein BcsQ_8,55
562.22864.peg.3086,unique,"Galactofuranose ABC transporter, permease protein 2_4",6
562.22923.peg.4166,unique,Phage ea22 protein_153,10
562.23335.peg.775,unique,UPF0187 protein YneE_13,5
562.23351.peg.3126,unique,"FIG001592: Phosphocarrier protein kinase/phosphorylase, nitrogen regulation associated_7",7
562.23620.peg.4685,unique,Phage eae protein_79,8
562.28565.peg.947,unique,Probable outer membrane usher protein ElfC_11,7
562.42641.peg.4571,unique,Intergenic-region protein_2,7
562.42646.peg.5444,unique,"Phage tail, tail length tape-measure protein H_108",6
562.42818.peg.4005,core,Sigma factor RpoE negative regulatory protein RseA_3,1968
562.42818.peg.1239,core,Ribose-5-phosphate isomerase A (EC 5.3.1.6)_1,1970
562.7680.peg.3510,unique,Uncharacterized protein YfdQ_24,10
562.12959.peg.2406,core,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)_1,1970
562.12959.peg.2009,core,UPF0053 inner membrane protein YgdQ_1,1970
562.12959.peg.1927,core,Uncharacterized sugar kinase YggC_1,1944
562.12959.peg.5149,core,UPF0174 protein YaaW_1,1956
562.12959.peg.3272,core,Putative anti-FlhC(2)FlhD(4) factor YdiV_1,1948
562.12961.peg.1647,core,Uncharacterized protein YgeA of aspartate/glutamate/hydantoin racemase family_1,1957
562.12962.peg.1705,unique,"Minor pilin of type IV secretion complex, VirB5_1",98
562.13502.peg.3345,unique,Phage DNA replication protein P_1,47
562.17620.peg.4606,unique,"Peptidoglycan hydrolase VirB1, involved in T-DNA transfer_2",95
562.22432.peg.4263,unique,Phage eae protein_8,14
562.22439.peg.3239,unique,Uncharacterized protein STM4503_2,145
562.22439.peg.1439,accessory,Non-specific ribonucleoside hydrolase RihC_3,210
562.22446.peg.4487,unique,Putative inner membrane protein_20,61
562.22446.peg.1580,unique,Cytolethal distending toxin subunit A_1,100
562.22449.peg.3341,unique,Mg(2+)-transport-ATPase-associated protein MgtC_3,41
562.22483.peg.5025,unique,"N6-hydroxylysine O-acetyltransferase (EC 2.3.1.102), aerobactin biosynthesis protein IucB @ Siderophore synthetase small component, acetyltransferase_3",21
562.22501.peg.4795,unique,Phage repressor protein cI_27,104
562.22511.peg.4800,accessory,"Phage tail tip, assembly protein L_8",975
562.22834.peg.4145,unique,Uncharacterized protein YbhM_3,8
562.22921.peg.4649,unique,Putative outer membrane usher protein YqiG_7,15
562.22947.peg.4680,unique,Phage antirepressor protein_18,12
562.23179.peg.4836,accessory,"Phage tail tip, assembly protein L_23",1454
562.23312.peg.864,unique,Inner membrane protein YeeA_4,28
562.31463.peg.524,unique,Translation elongation factor Tu_10,33
562.42651.peg.4398,unique,XcbB_1,5
562.42747.peg.4277,unique,Phage portal vertex protein GpQ_51,6
562.42818.peg.1260,core,Thiol:disulfide interchange protein DsbC_2,1967
562.7571.peg.4871,unique,Molybdate metabolism regulator_44,7
562.7572.peg.1124,unique,Non-specific ribonucleoside hydrolase RihC_7,10
562.7690.peg.4726,unique,Phage tail fiber protein_160,34
562.7761.peg.2010,unique,Ferric enterobactin uptake protein FepE_21,5
562.12959.peg.1740,accessory,N-acetylneuraminic acid outer membrane channel protein NanC_1,804
562.12959.peg.4947,core,Copper homeostasis protein CutF precursor / Lipoprotein NlpE involeved in surface adhesion_1,1966
562.12959.peg.3732,core,Respiratory nitrate reductase delta chain (EC 1.7.99.4)_1,1970
562.12959.peg.4849,accessory,CFA/I fimbrial chaperone_1,1905
562.12959.peg.2130,core,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)_1,1970
562.12959.peg.890,core,Uncharacterized protein YiaF_1,1970
562.12959.peg.4908,accessory,Flagellar assembly protein FliH_1,573
562.12960.peg.4229,accessory,"Uncharacterized transcriptional regulator YihL, GntR family_1",1146
562.12961.peg.4300,accessory,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB (EC 3.5.1.110)_1,1939
562.16466.peg.5155,unique,Ornithine decarboxylase (EC 4.1.1.17)_2,58
562.19184.peg.156,unique,Uncharacterized protein YjiPQ_2,15
562.19186.peg.4373,unique,"Uncharacterized transcriptional regulator YfjR, DeoR family_2",7
562.22444.peg.4782,unique,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)_17,7
562.22444.peg.4542,unique,DUF1275 domain-containing protein_2,7
562.22448.peg.4861,unique,Z1226 protein_8,79
562.22454.peg.1448,core,SanA protein_2,1957
562.22482.peg.5097,unique,Molybdate metabolism regulator_7,15
562.22482.peg.246,unique,Ribulose-phosphate 3-epimerase (EC 5.1.3.1)_5,27
562.22484.peg.4782,unique,"Peptidoglycan hydrolase VirB1, involved in T-DNA transfer_6",23
562.22493.peg.2069,core,Regulatory protein YeiL_1,1948
562.22507.peg.4678,unique,Putative glycoportein_8,12
562.22510.peg.2777,unique,LysR family transcriptional regulator YahB_2,7
562.22521.peg.4817,unique,"Phage terminase, ATPase subunit GpP_9",5
562.22666.peg.207,unique,Cystathionine beta-lyase (EC 4.4.1.8)_4,5
562.22701.peg.3103,unique,Phage DNA replication protein P_6,5
562.22761.peg.4607,unique,UPF0394 inner membrane protein YeeE_2,5
562.22930.peg.864,unique,Integrase_101,32
562.23020.peg.5172,unique,"Phage head, portal protein B_47",6
562.23075.peg.1059,unique,FhuE receptor precursor_14,5
562.23108.peg.1252,unique,DinG family ATP-dependent helicase YoaA_3,5
562.23246.peg.4768,unique,LysR-family transcriptional regulator YbdO_4,20
562.23272.peg.551,unique,Phage integrase_140,97
562.23407.peg.4967,unique,"Phage head, terminase DNA packaging protein A_49",12
562.23449.peg.4929,unique,"Phage tail fiber Mup49, S_59",48
562.23502.peg.265,unique,UPF0313 [4Fe-4S] protein YgiQ_4,11
562.23515.peg.883,accessory,"Phage tail fiber, tail fiber assembly protein Tfa_30",214
562.23603.peg.3863,unique,Inner membrane protein YbhI_11,36
562.23675.peg.1569,unique,Uncharacterized protein YgeP_11,6
562.28998.peg.3588,unique,"D-xylose ABC transporter, permease protein XylH_11",6
562.30309.peg.373,unique,Uncharacterized protein YjcZ paralog_7,9
562.42660.peg.5404,unique,TniA putative transposase_12,8
562.42857.peg.1929,core,7-cyano-7-deazaguanine synthase (EC 6.3.4.20)_2,1970
562.7567.peg.931,accessory,Uncharacterized membrane protein YahN_9,1820
562.7576.peg.2980,unique,Methionyl-tRNA synthetase (EC 6.1.1.10)_16,6
562.7632.peg.5192,unique,"Amino acid ABC transporter, permease protein 1, YhdX_5",5
562.7657.peg.4653,unique,Exodeoxyribonuclease VIII (EC 3.1.11.-)_105,5
562.7757.peg.4944,accessory,Uncharacterized fimbrial-like protein YadL_13,773
562.12959.peg.4944,core,tRNA (adenine(37)-N6)-methyltransferase_1,1970
562.12959.peg.1930,accessory,Transmembrane component STY3231 of energizing module of queuosine-regulated ECF transporter_1,1664
562.12959.peg.1881,core,Putative inner membrane protein YqgA_1,1958
562.12959.peg.1145,core,Uncharacterized DUF484 protein YigA_1,1967
562.12960.peg.1899,core,DedA family inner membrane protein YdjZ_1,1966
562.12960.peg.3986,accessory,Lipopolysaccharide core heptose(II) kinase RfaY_2,279
562.12960.peg.704,accessory,Uncharacterized protein YbeR_1,583
562.12961.peg.3314,unique,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)_1,73
562.12961.peg.2930,core,BarA-associated response regulator UvrY (= GacA = SirA)_1,1954
562.16466.peg.4275,unique,"ABC-type sugar transport system, periplasmic binding protein YcjN_1",28
562.16466.peg.3031,unique,Putative DNA-binding protein Erf_1,80
562.17721.peg.3405,core,RNA chaperone ProQ_1,1969
562.19631.peg.1559,unique,Putative uncharacterized protein YgeN_2,82
562.19633.peg.5683,unique,Phage DNA binding protein Roi_2,28
562.22434.peg.4964,unique,Outer membrane protein and related peptidoglycan-associated (lipo)proteins_1,58
562.22435.peg.5133,unique,Phage repressor protein cI_15,163
562.22437.peg.2624,unique,Phage DNA binding protein Roi_3,159
562.22443.peg.2321,unique,"Transcriptional regulator of acrAB operon, AcrR_3",24
562.22452.peg.4645,unique,"Phage head, terminase DNA packaging protein A_8",24
562.22512.peg.4727,unique,Phage protein ea59_4,7
562.22512.peg.3141,unique,Putative oxidoreductase_12,70
562.22519.peg.4704,unique,TniA putative transposase_3,23
562.22556.peg.3405,unique,"ABC-type antimicrobial peptide transport system, ATPase component_1",16
562.22631.peg.4622,unique,Bacteriophage N4 adsorption protein A_5,9
562.22633.peg.4407,unique,"Uncharacterized transcriptional regulator YfjR, DeoR family_5",6
562.22699.peg.3626,unique,2-keto-3-deoxygluconate permease (KDG permease)_5,11
562.22744.peg.2107,unique,2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)_6,42
562.22761.peg.1496,unique,"ABC transporter, substrate-binding protein (cluster 8, B12/iron complex)_10",14
562.22910.peg.4627,unique,Phage-related protein_3,39
562.22947.peg.4710,unique,Prepilin peptidase_2,25
562.23469.peg.4865,unique,"Minor pilin of type IV secretion complex, VirB5_7",19
562.23555.peg.5097,unique,"Xanthosine operon regulatory protein XapR, LysR family_9",6
562.28563.peg.2399,unique,Transposase for insertion sequences IS1326/IS1353_1,54
562.28810.peg.4593,unique,Response regulator protein Z5684_3,14
562.42789.peg.133,unique,c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeN_12,6
562.42818.peg.4883,core,LSU ribosomal protein L1p (L10Ae)_1,1970
562.42818.peg.107,core,Septum site-determining protein MinC_1,1967
562.42818.peg.3944,accessory,Flagellar assembly protein FliH_9,1922
562.7735.peg.5003,unique,"Phage head, portal protein B_163",16
562.12959.peg.1321,core,"Unsaturated fatty acid biosythesis repressor FabR, TetR family_1",1970
562.12959.peg.1900,core,Pyridoxal phosphate-containing protein YggS_1,1970
562.12959.peg.4355,core,Inner membrane protein YbhL_1,1970
562.12959.peg.4109,core,Chromosome partition protein MukE_1,1970
562.12959.peg.4998,core,Sugar fermentation stimulation protein SfsA_1,1966
562.12960.peg.552,core,Adenylate kinase (EC 2.7.4.3)_1,1970
562.22428.peg.3004,accessory,"Type-1 fimbrial protein, A chain precursor_3",948
562.22430.peg.3335,unique,Inner membrane protein YcfT_1,49
562.22452.peg.296,unique,Uncharacterized glycyl radical protein YjjI_5,23
562.22470.peg.3602,unique,Uncharacterized protein YgcG_2,31
562.22485.peg.494,unique,"Phage tail tip, assembly protein L_6",50
562.22495.peg.721,unique,Phage repressor protein cI_25,18
562.22634.peg.4681,unique,Mobile element protein_317,6
562.22718.peg.4085,unique,Phage EaA protein_37,9
562.22742.peg.3906,accessory,2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)_6,1242
562.22892.peg.4880,unique,Permease of the drug/metabolite transporter (DMT) superfamily_19,5
562.22923.peg.4119,unique,Phage protein_337,17
562.22936.peg.172,unique,DedA family inner membrane protein YdjX_4,6
562.23012.peg.1679,unique,D-allose kinase (EC 2.7.1.55)_4,11
562.23221.peg.3450,unique,Cell surface protein_11,6
562.23260.peg.3657,unique,"Maltodextrin ABC transporter, permease protein MdxF_6",8
562.23613.peg.449,core,Transcriptional repressor UidR_9,1945
562.23653.peg.5283,unique,Integron integrase IntI1_10,10
562.23756.peg.1963,core,Serine/threonine protein phosphatase 1 (EC 3.1.3.16)_6,1947
562.30349.peg.3122,unique,Transposase InsG for insertion sequence element IS4_22,7
